nota_finala,R1,P1,P2,P3,L1,L2,L3,practic_prolog,practic_lisp,Punctaj_seminar,Nr_prezente_seminar
10,10,10,10,10,10,10,10,5.25,10,10,7
10,10,10,10,10,10,10,10,5.7,10,15,7
10,10,10,10,10,10,10,10,10,10,15,7
10,10,10,10,10,10,10,10,10,10,17.5,7
9,9.2,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,9.75,8.25,10,7
10,9.6,10,10,10,10,10,10,10,10,17.5,7
9,10,10,10,10,10,10,10,10,10,2.5,7
8,9.5,10,10,10,10,10,10,6.25,10,5,7
10,10,10,10,10,8,10,10,10,10,6.5,6
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,10,10.5,7
10,9,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,10,9.5,7
10,10,10,10,10,10,10,10,10,10,10.5,7
10,10,10,10,10,10,10,10,10,10,10.5,7
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,9.15,7.5,7
10,10,10,10,10,10,10,10,10,10,7.5,7
10,10,10,10,10,10,10,10,10,10,5,7
9,9.2,10,10,10,10,10,10,9.9,9,5,7
10,10,10,10,10,10,10,10,10,10,10.5,7
10,10,10,10,10,10,10,10,7.05,10,10.5,7
10,9,10,10,10,10,8,10,9.9,10,10.5,7
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,10,9.5,7
10,10,10,10,10,10,10,10,10,10,10.5,7
10,10,10,10,10,10,10,10,10,10,8,7
10,10,10,10,10,10,10,10,10,10,11,7
10,10,10,10,10,10,10,10,10,10,17.5,7
10,10,10,10,10,10,10,10,10,10,10,7
10,10,10,10,10,10,10,10,10,10,7.5,7
9,10,10,10,10,10,10,10,8.7,10,5,6
10,10,10,10,10,10,10,10,10,9.9,12.5,7
10,10,10,10,10,10,10,10,10,10,17.5,7
8,6,9,10,10,10,10,10,8,10,5,7
10,10,10,10,10,10,10,10,10,10,7.5,6
